grid_id,lat,lon,anomaly_type,scenario,residual,canopy_pct,impervious_pct,minority_pct
CX-197,39.96113,-75.16232,hot,center_city_canyon,7.66,0.0,86.3,34.9
CA-220,39.9404,-75.18922,hot,center_city_canyon,6.01,0.0,61.0,23.9
DR-188,39.96924,-75.13891,hot,center_city_canyon,5.31,0.0,85.5,41.8
DN-231,39.93051,-75.14358,hot,center_city_canyon,5.18,14.7,83.1,31.5
CO-189,39.96833,-75.17286,hot,center_city_canyon,4.87,0.9,74.6,22.3
CD-223,39.9377,-75.1857,hot,center_city_canyon,4.87,0.0,83.7,70.2
CR-222,39.93861,-75.16932,hot,center_city_canyon,4.82,0.0,60.1,42.6
DG-208,39.95123,-75.15178,hot,center_city_canyon,4.8,0.0,88.2,24.4
DK-205,39.95393,-75.1471,hot,center_city_canyon,4.57,0.0,89.2,19.9
CL-222,39.93861,-75.17634,hot,center_city_canyon,4.06,2.6,76.7,45.2
CY-204,39.95482,-75.16115,hot,center_city_canyon,3.92,0.0,88.8,53.9
DN-207,39.95213,-75.14359,hot,center_city_canyon,3.89,0.0,84.2,19.9
DU-193,39.96474,-75.1354,hot,center_city_canyon,3.84,0.0,86.9,41.8
DM-188,39.96924,-75.14477,hot,center_city_canyon,3.66,0.0,81.8,21.4
DG-219,39.94132,-75.15178,hot,center_city_canyon,3.49,0.0,84.1,15.2
DA-214,39.94582,-75.1588,hot,center_city_canyon,3.48,0.0,81.9,27.7
DX-192,39.96564,-75.13189,hot,center_city_canyon,3.46,0.0,85.6,41.8
CD-209,39.95031,-75.18572,hot,center_city_canyon,3.32,0.0,87.3,45.7
DS-197,39.96114,-75.13774,hot,center_city_canyon,3.29,0.0,83.5,31.5
DC-207,39.95213,-75.15646,hot,center_city_canyon,3.26,0.0,87.5,60.8
CQ-207,39.95212,-75.17051,hot,center_city_canyon,3.24,0.0,81.9,20.3
BZ-209,39.95031,-75.1904,hot,center_city_canyon,3.16,0.0,71.4,45.7
CV-219,39.94131,-75.16465,hot,center_city_canyon,3.1,0.0,70.0,33.4
AL-207,39.95207,-75.23721,hot,center_city_canyon,3.01,0.0,73.8,92.6
AJ-201,39.95747,-75.23956,hot,center_city_canyon,2.96,0.0,86.6,96.2
AH-71,40.07455,-75.24211,hot,mt_airy_green,6.25,54.0,12.3,24.5
AH-80,40.06644,-75.2421,hot,mt_airy_green,6.13,32.9,14.5,30.2
AP-83,40.06375,-75.23271,hot,mt_airy_green,5.32,61.2,19.8,24.5
BM-83,40.06378,-75.20575,hot,mt_airy_green,5.17,60.7,9.8,23.6
BH-84,40.06287,-75.21161,hot,mt_airy_green,5.12,45.9,14.4,23.6
AM-81,40.06555,-75.23623,hot,mt_airy_green,4.74,48.9,25.2,24.5
AL-85,40.06195,-75.2374,hot,mt_airy_green,4.45,38.5,43.0,24.5
