grid_id,gvi,svf,bvf,rvf,canyon_ratio,canopy_height_proxy,vegetation_sky_ratio,scenario,anomaly_type,residual,canopy_pct,impervious_pct,lat,lon
AA-171,0.5003,0.102,0.023,0.2785,0.2735,0.4681,27.5911,west_philly_reinvest,hot,3.2,30.1,45.5,39.98448,-75.25014
AD-79,0.4022,0.2624,0.0438,0.2371,0.2501,0.2734,1.81,mt_airy_green,hot,3.63,31.4,5.2,40.06734,-75.24679
AH-71,0.6276,0.1188,0.0028,0.2317,0.0157,0.366,7.6742,mt_airy_green,hot,6.25,54.0,12.3,40.07455,-75.24211
AJ-201,0.0293,0.3764,0.1166,0.4296,0.3323,0.0151,0.0836,center_city_canyon,hot,2.96,0.0,86.6,39.95747,-75.23956
AJ-75,0.3322,0.21,0.0233,0.3406,0.5605,0.439,4.4447,mt_airy_green,hot,3.51,88.8,2.1,40.07095,-75.23976
AK-161,0.3031,0.2751,0.1226,0.273,0.6435,0.2874,1.5938,west_philly_reinvest,hot,3.77,18.1,60.6,39.9935,-75.23845
AK-89,0.1351,0.3817,0.0557,0.295,0.1444,0.1279,0.354,ne_philly_rooftop,cool,-5.32,8.4,61.3,40.05834,-75.23856
AL-207,0.0506,0.2046,0.3929,0.2294,2.2678,0.0,0.2903,center_city_canyon,hot,3.01,0.0,73.8,39.95207,-75.23721
AL-85,0.4212,0.2307,0.0012,0.3445,0.0044,0.2419,2.5327,mt_airy_green,hot,4.45,38.5,43.0,40.06195,-75.2374
AM-81,0.3268,0.2787,0.0378,0.233,0.14,0.2782,1.2806,mt_airy_green,hot,4.74,48.9,25.2,40.06555,-75.23623
AM-97,0.1017,0.3371,0.1117,0.3752,0.3704,0.1141,0.3563,ne_philly_rooftop,cool,-3.52,8.1,73.2,40.05114,-75.23621
AN-75,0.3114,0.2188,0.0664,0.3981,0.3325,0.3714,3.7304,mt_airy_green,hot,3.21,65.2,26.9,40.07095,-75.23507
AP-83,0.2342,0.2813,0.0176,0.3401,0.0499,0.3002,1.3764,mt_airy_green,hot,5.32,61.2,19.8,40.06375,-75.23271
AQ-253,0.2842,0.3103,0.0378,0.3544,0.1298,0.3097,0.9477,west_philly_reinvest,hot,3.14,10.1,70.5,39.91065,-75.23129
AS-90,0.116,0.2814,0.1552,0.2945,0.5565,0.2308,0.43,ne_philly_rooftop,cool,-5.66,7.6,65.8,40.05745,-75.22919
AT-81,0.4237,0.1574,0.0598,0.3432,0.8024,0.445,5.0458,mt_airy_green,hot,3.36,44.2,17.7,40.06556,-75.22803
AW-179,0.2485,0.3032,0.0565,0.3853,0.2209,0.2102,1.2862,west_philly_reinvest,hot,3.6,9.5,58.2,39.9773,-75.22437
BB-104,0.029,0.2825,0.295,0.3447,1.161,0.0,0.0958,ne_philly_rooftop,cool,-4.98,7.8,62.1,40.04485,-75.21862
BC-199,0.0526,0.2379,0.2213,0.3554,1.0348,0.0271,0.2283,west_philly_reinvest,hot,3.94,30.5,46.4,39.95929,-75.21732
BF-146,0.16,0.3157,0.0374,0.4291,0.1189,0.3154,0.5831,west_philly_reinvest,hot,3.15,19.2,61.5,40.00703,-75.21388
BF-196,0.1365,0.3269,0.084,0.4385,0.3775,0.2792,0.5474,west_philly_reinvest,hot,5.0,29.8,19.8,39.962,-75.21382
BF-197,0.1846,0.2935,0.0667,0.3684,0.2547,0.3316,0.8203,west_philly_reinvest,hot,3.51,28.6,50.5,39.9611,-75.21382
BI-65,0.5379,0.2094,0.0051,0.2423,0.0151,0.2279,5.3485,mt_airy_green,hot,3.78,38.5,24.1,40.07998,-75.21046
BK-196,0.0461,0.3289,0.1871,0.3811,0.7468,0.111,0.1245,west_philly_reinvest,hot,6.2,13.0,17.8,39.962,-75.20796
